Instance name, X location, Y location, Voltage
FILLER_0_12_29, 21.84, 46.24, 1.79998
_061_, 21.84, 40.8, 1.79995
_107_, 21.84, 40.8, 1.79995
clkbuf_1_1__f_clk, 21.84, 40.8, 1.79995
FILLER_0_11_31, 21.84, 40.8, 1.79995
_066_, 21.84, 35.36, 1.79998
_072_, 21.84, 35.36, 1.79998
_073_, 21.84, 35.36, 1.79998
_102_, 21.84, 35.36, 1.79998
hold4, 21.84, 35.36, 1.79998
hold13, 21.84, 35.36, 1.79998
FILLER_0_8_29, 21.84, 35.36, 1.79998
_062_, 21.84, 29.92, 1.79996
_076_, 21.84, 29.92, 1.79996
clkbuf_0_clk, 21.84, 29.92, 1.79996
FILLER_0_7_47, 21.84, 29.92, 1.79996
_057_, 21.84, 24.48, 1.79998
_058_, 21.84, 24.48, 1.79998
_059_, 21.84, 24.48, 1.79998
hold1, 21.84, 24.48, 1.79998
FILLER_0_4_29, 21.84, 24.48, 1.79998
_056_, 21.84, 19.04, 1.79996
_075_, 21.84, 19.04, 1.79996
_077_, 21.84, 19.04, 1.79996
_081_, 21.84, 19.04, 1.79996
_082_, 21.84, 19.04, 1.79996
clkbuf_1_0__f_clk, 21.84, 19.04, 1.79996
_079_, 21.84, 13.6, 1.79997
_080_, 21.84, 13.6, 1.79997
_109_, 21.84, 13.6, 1.79997
output5, 21.84, 13.6, 1.79997
hold5, 21.84, 13.6, 1.79997
PHY_EDGE_ROW_12_Left_26, 5.52, 46.24, 1.79997
PHY_EDGE_ROW_13_Left_27, 5.52, 46.24, 1.79997
PHY_EDGE_ROW_12_Right_12, 44.62, 46.24, 1.79997
PHY_EDGE_ROW_13_Right_13, 44.62, 46.24, 1.79997
FILLER_0_13_79, 44.62, 46.24, 1.79997
_101_, 13.68, 46.24, 1.79997
output13, 33.23, 46.24, 1.79997
hold3, 33.23, 46.24, 1.79997
hold7, 33.23, 46.24, 1.79997
hold12, 33.23, 46.24, 1.79997
FILLER_0_13_53, 33.23, 46.24, 1.79997
FILLER_0_13_71, 33.23, 46.24, 1.79997
_104_, 5.52, 40.8, 1.79994
PHY_EDGE_ROW_10_Left_24, 5.52, 40.8, 1.79994
PHY_EDGE_ROW_11_Left_25, 5.52, 40.8, 1.79994
FILLER_0_12_3, 5.52, 40.8, 1.79994
PHY_EDGE_ROW_10_Right_10, 44.62, 40.8, 1.79994
PHY_EDGE_ROW_11_Right_11, 44.62, 40.8, 1.79994
output6, 44.62, 40.8, 1.79994
FILLER_0_11_73, 44.62, 40.8, 1.79994
_051_, 13.68, 40.8, 1.79994
_063_, 13.68, 40.8, 1.79994
_064_, 13.68, 40.8, 1.79994
FILLER_0_10_10, 13.68, 40.8, 1.79994
_106_, 33.23, 40.8, 1.79994
hold9, 33.23, 40.8, 1.79994
FILLER_0_10_52, 33.23, 40.8, 1.79994
_067_, 5.52, 35.36, 1.79998
_068_, 5.52, 35.36, 1.79998
PHY_EDGE_ROW_8_Left_22, 5.52, 35.36, 1.79998
PHY_EDGE_ROW_9_Left_23, 5.52, 35.36, 1.79998
input2, 5.52, 35.36, 1.79998
PHY_EDGE_ROW_8_Right_8, 44.62, 35.36, 1.79997
PHY_EDGE_ROW_9_Right_9, 44.62, 35.36, 1.79997
_074_, 13.68, 35.36, 1.79998
hold11, 13.68, 35.36, 1.79998
FILLER_0_9_17, 13.68, 35.36, 1.79998
_050_, 33.23, 35.36, 1.79997
_087_, 33.23, 35.36, 1.79997
_089_, 33.23, 35.36, 1.79997
_111_, 33.23, 35.36, 1.79997
hold8, 33.23, 35.36, 1.79997
FILLER_0_9_60, 33.23, 35.36, 1.79997
_070_, 5.52, 29.92, 1.79994
_105_, 5.52, 29.92, 1.79994
PHY_EDGE_ROW_6_Left_20, 5.52, 29.92, 1.79994
PHY_EDGE_ROW_7_Left_21, 5.52, 29.92, 1.79994
output11, 5.52, 29.92, 1.79994
PHY_EDGE_ROW_6_Right_6, 44.62, 29.92, 1.79995
PHY_EDGE_ROW_7_Right_7, 44.62, 29.92, 1.79995
output7, 44.62, 29.92, 1.79995
output8, 44.62, 29.92, 1.79995
output10, 44.62, 29.92, 1.79995
FILLER_0_7_75, 44.62, 29.92, 1.79995
_065_, 13.68, 29.92, 1.79995
_069_, 13.68, 29.92, 1.79995
_071_, 13.68, 29.92, 1.79995
_103_, 13.68, 29.92, 1.79995
FILLER_0_7_22, 13.68, 29.92, 1.79995
_054_, 33.23, 29.92, 1.79995
_086_, 33.23, 29.92, 1.79995
_088_, 33.23, 29.92, 1.79995
_090_, 33.23, 29.92, 1.79995
_092_, 33.23, 29.92, 1.79995
_112_, 33.23, 29.92, 1.79995
FILLER_0_7_67, 33.23, 29.92, 1.79995
_053_, 5.52, 24.48, 1.79998
_060_, 5.52, 24.48, 1.79998
PHY_EDGE_ROW_4_Left_18, 5.52, 24.48, 1.79998
PHY_EDGE_ROW_5_Left_19, 5.52, 24.48, 1.79998
input1, 5.52, 24.48, 1.79998
