net,length_um
clknet_1_1__leaf_clk,75.36µm
clknet_1_0__leaf_clk,56.98µm
net12,55.96µm
net2,49.96µm
_037_,49.7µm
data_counter_inst.inc,47.7µm
_020_,38.98µm
net6,37.63µm
clk,34.91µm
_026_,32.18µm
net7,29.28µm
_024_,26.58µm
net13,25.835µm
net4,24.82µm
net5,24.7µm
clknet_0_clk,24.18µm
_034_,21.72µm
_038_,21.24µm
net8,19.58µm
data_edge_detector_inst.input_buffer\[1\],18.4µm
_023_,17.24µm
_033_,16.92µm
_022_,16.86µm
_044_,16.595µm
net9,16.48µm
count_out[0],16.3µm
data_edge_detector_inst.state\[0\],15.86µm
net22,15.74µm
_029_,15.72µm
net15,15.22µm
_003_,15.025µm
data_edge_detector_inst.reset_counter\[0\],14.08µm
_031_,13.62µm
_032_,13.6µm
net10,13.26µm
_025_,12.77µm
_013_,12.125µm
_030_,12µm
data_in,11.92µm
_008_,11.72µm
_014_,11.56µm
_041_,10.82µm
_028_,10.02µm
count_out[1],9.42µm
_001_,8.605µm
running,8.5µm
data_edge_detector_inst.reset_counter\[1\],8.3µm
_039_,8.2µm
_006_,8.065µm
net3,8.035µm
net27,7.92µm
_045_,7.84µm
_007_,7.68µm
net21,7.52µm
net18,7.42µm
net20,7.38µm
_017_,7.18µm
_002_,7.105µm
_011_,6.815µm
count_out[6],6.45µm
data_edge_detector_inst.input_buffer\[0\],6.18µm
_036_,6.02µm
count_out[2],5.97µm
_004_,5.84µm
_010_,5.74µm
_021_,5.62µm
_019_,5.58µm
rst,5.41µm
_018_,5.4µm
count_out[3],5.29µm
ready,5.07µm
_043_,5.02µm
count_out[4],4.61µm
count_out[5],4.61µm
start,4.61µm
_009_,4.585µm
_000_,4.485µm
temp_reset,4.39µm
_042_,4.3µm
net17,4.19µm
_046_,4.14µm
net11,3.88µm
net14,3.88µm
net23,3.705µm
net26,3.68µm
_035_,3.17µm
controller_inst.clear,3.08µm
_027_,2.86µm
net24,2.62µm
net1,2.52µm
net16,2.375µm
_005_,2.325µm
_015_,2.06µm
_016_,2.025µm
_012_,1.865µm
_048_,1.7µm
net25,1.685µm
_040_,1.46µm
net19,1.38µm
_047_,1.22µm
