Instance name, X location, Y location, Voltage
_069_, 25.14, 48.96, 1.64431e-05
FILLER_0_13_37, 25.14, 48.96, 1.64431e-05
_051_, 25.14, 43.52, 4.3126e-05
_056_, 25.14, 43.52, 4.3126e-05
_068_, 25.14, 43.52, 4.3126e-05
_104_, 25.14, 43.52, 4.3126e-05
input1, 25.14, 43.52, 4.3126e-05
hold7, 25.14, 43.52, 4.3126e-05
FILLER_0_13_50, 25.14, 43.52, 4.3126e-05
_055_, 25.14, 38.08, 6.42068e-05
_066_, 25.14, 38.08, 6.42068e-05
_070_, 25.14, 38.08, 6.42068e-05
_100_, 25.14, 38.08, 6.42068e-05
clkbuf_1_1__f_clk, 25.14, 38.08, 6.42068e-05
FILLER_0_10_43, 25.14, 38.08, 6.42068e-05
FILLER_0_11_51, 25.14, 38.08, 6.42068e-05
clkbuf_0_clk, 25.14, 32.64, 7.31791e-05
hold12, 25.14, 32.64, 7.31791e-05
_076_, 25.14, 27.2, 1.98465e-05
_087_, 25.14, 27.2, 1.98465e-05
_089_, 25.14, 27.2, 1.98465e-05
hold1, 25.14, 27.2, 1.98465e-05
FILLER_0_6_41, 25.14, 27.2, 1.98465e-05
_081_, 25.14, 21.76, 1.98058e-05
_082_, 25.14, 21.76, 1.98058e-05
_088_, 25.14, 21.76, 1.98058e-05
_092_, 25.14, 21.76, 1.98058e-05
FILLER_0_4_52, 25.14, 21.76, 1.98058e-05
FILLER_0_5_46, 25.14, 21.76, 1.98058e-05
_059_, 25.14, 16.32, 6.36587e-05
_060_, 25.14, 16.32, 6.36587e-05
_109_, 25.14, 16.32, 6.36587e-05
clkbuf_1_0__f_clk, 25.14, 16.32, 6.36587e-05
FILLER_0_3_50, 25.14, 16.32, 6.36587e-05
_080_, 25.14, 10.88, 1.15372e-05
output4, 25.14, 10.88, 1.15372e-05
output5, 25.14, 10.88, 1.15372e-05
FILLER_0_1_53, 25.14, 10.88, 1.15372e-05
PHY_EDGE_ROW_13_Left_27, 5.52, 48.96, 1.64431e-05
PHY_EDGE_ROW_13_Right_13, 44.62, 48.96, 1.69853e-05
FILLER_0_13_79, 44.62, 48.96, 1.69853e-05
